ACS Year,Community Area,"Under $25,000","$25,000 to $49,999","$50,000 to $74,999","$75,000 to $125,000","$125,000 +",Male 0 to 17,Male 18 to 24,Male 25 to 34,Male 35 to 49,Male 50 to 64,Male 65+,Female 0 to 17,Female 18 to 24,Female 25 to 34,Female 35 to 49,Female 50 to 64,Female 65 +,Total Population,White,Black or African American,American Indian or Alaska Native,Asian,Native Hawaiian or Pacific Islander,Other Race,Multiracial,White Not Hispanic or Latino,Hispanic or Latino,Record ID
2023,ALBANY PARK,1269,1916,1801,2306,3379,4799,2955,4513,5442,4354,2287,4913,2405,4116,5228,3764,3054,47830,21496,2228,759,7124,1,7888,8334,16115,21108,2023_ALBANY PARK
2023,ARCHER HEIGHTS,223,752,441,795,739,1927,732,1102,1240,1417,1035,1502,899,978,1167,854,1021,13875,6232,10,108,679,0,3705,3142,2043,11097,2023_ARCHER HEIGHTS
2023,ARMOUR SQUARE,701,798,370,637,597,1300,487,871,1174,1177,1032,1022,517,965,1163,1378,2063,13149,2556,1487,107,8402,61,212,325,2226,565,2023_ARMOUR SQUARE
2023,ASHBURN,797,1351,1985,3014,2735,5150,1964,2881,4178,4228,2473,5138,2248,2774,4582,4044,3184,42842,11297,18124,697,436,0,7772,4517,3774,19917,2023_ASHBURN
2023,AUBURN GRESHAM,2541,2451,1592,2202,1850,5803,1836,2964,3431,3469,3223,5305,2304,3057,4522,5213,5357,46483,760,43414,119,399,0,993,798,491,1577,2023_AUBURN GRESHAM
2023,AUSTIN,5506,5084,3600,4047,3725,12399,4668,6681,9920,8110,6175,12163,4575,6643,10092,10040,8811,100278,10447,73602,531,678,21,8512,6487,5386,19591,2023_AUSTIN
2023,AVALON PARK,420,489,356,518,630,1216,256,362,781,747,664,714,450,509,1087,965,1741,9492,27,8924,0,65,0,265,211,27,48,2023_AVALON PARK
2023,AVONDALE,689,1191,1106,1726,3059,2666,1811,4559,4354,3117,1272,3768,1755,4664,3753,2913,1718,36350,19289,927,263,1750,15,7809,6297,13718,18606,2023_AVONDALE
2023,BELMONT CRAGIN,1585,3843,3031,4588,3299,9084,3962,5195,8427,6668,3396,9697,3604,4798,7358,6445,5352,73988,27909,3370,993,1939,23,25743,14011,10782,57511,2023_BELMONT CRAGIN
2023,BEVERLY,160,294,355,1074,3255,2069,856,863,1776,2112,1795,2206,730,1027,1667,2627,2082,19811,11330,6671,9,176,23,276,1327,10974,1389,2023_BEVERLY
2023,BRIDGEPORT,1123,1450,1043,1634,2572,3048,1222,3580,3650,2982,2560,2606,1231,3327,3241,2969,2594,33012,13410,991,152,13234,0,2751,2475,11334,6879,2023_BRIDGEPORT
2023,BRIGHTON PARK,1685,2564,1889,2138,1531,5354,2207,4308,3517,4085,2317,5398,2564,3232,3802,3452,2125,42360,14018,937,850,4391,128,14067,7969,3193,33785,2023_BRIGHTON PARK
2023,BURNSIDE,31,104,73,96,136,262,82,20,182,148,210,189,63,126,292,323,333,2229,40,2007,0,0,0,0,183,40,108,2023_BURNSIDE
