Latitude,Longitude,Year,Week,sin_doy,cos_doy,log_mosq,near_pos_count_lag1,near_pos_rate_lag1,log_near_mosq_sum_lag1,near_n_samples_lag1,near_pos_count_lag2,near_pos_rate_lag2,log_near_mosq_sum_lag2,near_n_samples_lag2,SPECIES,target
41.79821073,-87.73692496,2019,39,-0.99665890175417,-0.08167639533042288,0.6931471805599453,0.0,0.0,4.382026634673881,2.0,2.0,0.6666666666666666,4.927253685157205,3.0,CULEX RESTUANS,0
41.70532764,-87.63295537,2019,39,-0.99665890175417,-0.08167639533042288,2.302585092994046,0.0,0.0,3.091042453358316,2.0,0.0,0.0,2.302585092994046,1.0,CULEX PIPIENS/RESTUANS,0
41.89221998,-87.69169773,2019,39,-0.99665890175417,-0.08167639533042288,1.0986122886681098,0.0,0.0,4.174387269895637,3.0,0.0,0.0,3.091042453358316,3.0,CULEX PIPIENS/RESTUANS,0
41.98724461,-87.68941677,2019,39,-0.99665890175417,-0.08167639533042288,1.0986122886681098,0.0,0.0,2.8903717578961645,3.0,1.0,0.5,4.30406509320417,2.0,CULEX RESTUANS,0
41.87287286,-87.76473653,2019,39,-0.99665890175417,-0.08167639533042288,2.1972245773362196,0.0,0.0,3.367295829986474,3.0,1.0,0.25,4.248495242049359,4.0,CULEX PIPIENS/RESTUANS,0
41.87287286,-87.76473653,2019,39,-0.99665890175417,-0.08167639533042288,0.6931471805599453,0.0,0.0,3.367295829986474,3.0,1.0,0.25,4.248495242049359,4.0,CULEX TARSALIS,0
41.77830516,-87.75436629,2019,39,-0.99665890175417,-0.08167639533042288,1.9459101490553132,0.0,0.0,2.833213344056216,2.0,1.0,0.5,3.828641396489095,2.0,CULEX PIPIENS/RESTUANS,0
41.95366415,-87.72498719,2019,39,-0.99665890175417,-0.08167639533042288,0.6931471805599453,0.0,0.0,2.0794415416798357,1.0,0.0,0.0,2.772588722239781,2.0,CULEX RESTUANS,0
41.82085851,-87.6651081,2019,39,-0.99665890175417,-0.08167639533042288,2.4849066497880004,0.0,0.0,2.4849066497880004,3.0,0.0,0.0,1.6094379124341003,1.0,CULEX PIPIENS/RESTUANS,0
41.65706888,-87.54604887,2019,39,-0.99665890175417,-0.08167639533042288,3.295836866004329,0.0,0.0,3.1354942159291497,3.0,0.0,0.0,2.833213344056216,3.0,CULEX PIPIENS/RESTUANS,0
41.8837113,-87.71609209,2019,39,-0.99665890175417,-0.08167639533042288,2.0794415416798357,0.0,0.0,3.6109179126442243,4.0,0.0,0.0,3.4965075614664802,4.0,CULEX PIPIENS/RESTUANS,0
41.65706888,-87.54604887,2019,39,-0.99665890175417,-0.08167639533042288,2.302585092994046,0.0,0.0,3.1354942159291497,3.0,0.0,0.0,2.833213344056216,3.0,CULEX RESTUANS,0
41.82539826,-87.72396214,2019,39,-0.99665890175417,-0.08167639533042288,2.3978952727983707,0.0,0.0,1.3862943611198906,1.0,0.0,0.0,3.1780538303479458,1.0,CULEX PIPIENS/RESTUANS,0
41.89145452,-87.68976266,2019,39,-0.99665890175417,-0.08167639533042288,1.9459101490553132,0.0,0.0,4.174387269895637,3.0,0.0,0.0,3.091042453358316,3.0,CULEX PIPIENS/RESTUANS,0
41.79168956,-87.78163597,2019,39,-0.99665890175417,-0.08167639533042288,1.0986122886681098,0.0,0.0,2.833213344056216,1.0,1.0,0.5,3.4011973816621555,2.0,CULEX PIPIENS/RESTUANS,0
41.79436648,-87.64892514,2019,39,-0.99665890175417,-0.08167639533042288,2.5649493574615367,0.0,0.0,2.0794415416798357,1.0,0.0,0.0,2.4849066497880004,1.0,CULEX PIPIENS/RESTUANS,0
41.9217769,-87.63214045,2019,39,-0.99665890175417,-0.08167639533042288,1.0986122886681098,0.0,0.0,3.7612001156935624,5.0,1.0,0.2,4.276666119016055,5.0,CULEX RESTUANS,0
41.99356436,-87.74542039,2019,39,-0.99665890175417,-0.08167639533042288,1.6094379124341003,0.0,0.0,3.091042453358316,1.0,0.0,0.0,2.6390573296152584,1.0,CULEX PIPIENS/RESTUANS,0
41.94596109,-87.83294247,2019,39,-0.99665890175417,-0.08167639533042288,3.367295829986474,0.0,0.0,3.8501476017100584,2.0,1.0,0.5,3.871201010907891,2.0,CULEX PIPIENS/RESTUANS,1
41.86691518,-87.65491884,2019,39,-0.99665890175417,-0.08167639533042288,1.3862943611198906,0.0,0.0,2.0794415416798357,2.0,0.0,0.0,3.6635616461296463,2.0,CULEX RESTUANS,0
41.89613109,-87.65676212,2019,39,-0.99665890175417,-0.08167639533042288,2.5649493574615367,0.0,0.0,2.70805020110221,2.0,0.0,0.0,3.8918202981106265,2.0,CULEX PIPIENS/RESTUANS,0
